,Normal Epochs,Apnea Epochs
C3s-FRb,-0.00025859812929118097,-0.00024592345034715995
C3s-C4d,-0.0023100822111440217,-0.0033503086136690424
C3s-C4t,-0.001138771774068803,-0.001697365263598693
C3s-C4a,-0.0018142931859133394,-0.0025917285773401693
C3s-C4s,-0.0034687884451966903,-0.0030290508979451893
C3s-C4b,-0.003926299895898949,-0.007415802005611577
C3s-O2d,-1.5107106014634149e-05,0.00021070581273647978
C3s-O2t,-0.00033182342271220874,-0.0006327816869625176
C3s-O2a,0.004023478528461477,0.007677635083234734
C3s-O2s,-0.004969842688805885,-0.005046453029760228
C3s-O2b,0.00113433831004271,0.00267668213437395
C3b-O1d,0.000705310033026639,0.001618721711765122
C3b-O1t,-0.00048734727524683363,-0.0007495433549603355
C3b-O1a,0.0006549742831417701,0.0009986436781400493
C3b-O1s,-0.0010158300314395744,-0.0021946460855582005
C3b-O1b,0.0046841510901907395,0.005570803605173654
C3b-FRd,-0.0022249305772304912,-0.002879024658144527
C3b-FRt,-0.0025970061011049293,-0.004350435179732382
C3b-FRa,-0.0004997257442002033,-0.000992469876533082
C3b-FRs,-0.004181397937265664,-0.00750152069533124
C3b-FRb,-0.0019077030869813505,-0.003484453969396172
C3b-C4d,-0.002390207366183767,-0.0030689467804646616
C3b-C4t,-0.003764057536110968,-0.005372713741695546
C3b-C4a,-0.002205991878289814,-0.0036315587204337136
C3b-C4s,-0.001673597663204622,-0.0027563416376139276
C3b-C4b,-0.0033843290922665687,-0.005130819231251547
C3b-O2d,0.0013739458544895192,0.0031224122361008366
C3b-O2t,-0.0012319469583916879,-0.0023703676139694286
C3b-O2a,0.002565208424971317,0.00531704591652616
C3b-O2s,-0.00034809760336268925,-0.00033210002212136853
C3b-O2b,0.003530520968120023,0.007435848354592085
O1d-O1t,0.0038114229378115533,0.006163747075809231
O1d-O1a,0.0029716899806898228,0.005720572519943951
O1d-O1s,0.001561641266535504,0.0043804983829811
O1d-O1b,0.0038698201125541994,0.009685864000305846
O1d-FRd,-0.005083298559352927,-0.005797895840504256
O1d-FRt,-0.003386494432436705,-0.004921277968728017
O1d-FRa,-0.0026215251786235357,-0.004538623915775067
O1d-FRs,-0.000919615111684061,-0.0015140797532443556
O1d-FRb,-7.939915197552201e-05,-6.356792092621541e-05
O1d-C4d,-0.002470052457003492,-0.0027475034622143164
O1d-C4t,-0.004439615261425571,-0.00625763944405229
